year,fuel,seller_type,transmission,owner,brand,km_dr_gr,mpow_val
18,0,1,1,1,11,5.397940008672037,100
21,1,1,1,1,19,4.544068044350275,82
21,0,1,1,1,11,5.079181246047624,101
23,0,1,1,1,21,4.845098040014256,74
24,0,0,1,1,20,4.255272505103306,108
22,0,1,1,2,26,5.0413926851582245,74
23,0,1,1,1,21,4.778151250383643,88
21,0,1,0,1,11,4.778151250383643,168
22,0,1,1,2,21,5.167317334748176,74
17,0,1,1,3,26,4.997823080745725,148
17,0,1,1,2,22,5.0413926851582245,71
16,0,1,1,2,19,5.0413926851582245,110
22,0,1,1,1,13,5.0,77
20,1,1,1,1,21,4.322219294733919,94
19,0,1,1,2,16,4.778151250383643,90
16,0,1,1,1,22,4.602059991327962,70
14,1,1,1,1,19,4.698970004336019,68
16,1,1,1,2,21,4.812913356642856,66
17,1,1,1,1,21,4.903089986991943,67
21,0,1,1,1,19,5.075546961392531,126
23,0,1,1,1,21,4.954242509439324,74
22,1,1,1,1,19,4.30102999566398,121
20,0,1,1,2,21,4.903089986991943,74
26,0,1,1,1,13,4.6499673383248235,77
25,0,1,1,1,7,4.0,113
24,1,1,1,1,19,4.778151250383643,82
22,1,1,1,1,14,4.342422680822206,87
20,1,1,1,1,21,4.3979400086720375,47
22,0,1,1,1,21,4.845098040014256,47
14,1,1,1,3,21,5.089905111439397,86
17,0,1,1,2,17,4.845098040014256,104
19,1,1,1,2,26,4.845098040014256,79
19,0,1,1,1,11,4.653212513775343,67
21,1,1,0,1,19,4.602059991327962,82
25,0,1,1,1,21,4.477121254719662,74
13,1,1,0,1,14,4.954242509439324,130
22,1,1,1,2,21,4.531478917042255,91
23,1,1,1,1,21,4.3979400086720375,47
19,0,1,1,1,26,4.698970004336019,58
18,0,1,1,2,26,4.845098040014256,58
18,1,1,1,2,16,4.929418925714292,70
22,0,1,1,1,21,4.477121254719662,74
24,0,1,1,1,21,4.176091259055681,74
23,1,1,1,1,23,4.3979400086720375,54
17,1,1,1,1,21,4.954242509439324,67
14,0,1,1,2,21,4.903089986991943,74
17,0,1,1,1,22,4.698970004336019,54
18,0,1,1,2,13,4.903089986991943,63
22,1,1,1,1,19,4.579783596616809,82
19,1,1,1,1,19,4.778151250383643,55
18,1,1,1,1,21,4.477121254719662,86
20,1,1,1,1,21,4.477121254719662,86
21,1,1,1,1,26,4.698970004336019,77
23,1,1,1,1,22,4.6232492903979,84
22,1,1,1,1,26,4.477121254719662,82
15,1,1,1,3,21,4.778151250383643,46
24,0,1,1,1,4,4.146128035678237,170
21,1,1,1,1,14,4.342422680822206,117
18,0,1,1,1,17,4.954242509439324,104
17,1,1,1,1,21,4.662757831681573,67
24,1,1,1,1,19,4.30102999566398,82
20,0,1,1,1,22,4.176091259055681,70
20,1,1,1,2,19,4.477121254719662,83
23,1,1,1,2,19,4.176091259055681,55
13,1,1,1,2,19,5.0413926851582245,83
15,1,1,1,2,21,4.845098040014256,46
21,1,1,1,1,26,4.903089986991943,82
21,1,1,1,1,22,5.0413926851582245,89
19,0,1,1,2,16,4.845098040014256,67
8,1,1,1,2,21,4.698970004336019,46
19,0,1,1,1,11,5.278753600952829,101
16,0,1,1,2,13,5.0,63
21,1,1,1,1,21,4.778151250383643,47
21,1,1,1,1,21,4.602059991327962,67
23,0,0,1,1,21,4.505149978319905,88
22,0,1,0,1,11,4.477121254719662,172
22,0,1,1,1,19,4.763427993562937,126
24,0,1,1,1,21,3.6989700043360187,88
24,1,1,1,1,19,4.3979400086720375,82
24,1,1,1,1,19,4.505149978319905,82
22,1,1,1,1,14,4.477121254719662,89
23,1,0,1,1,14,4.633468455579586,117
18,1,0,1,1,19,4.778151250383643,113
21,1,1,0,1,18,4.698970004336019,76
23,1,1,1,1,19,4.0,55
24,1,1,1,1,23,4.3979400086720375,54
24,1,1,1,1,16,4.281033367247727,95
25,1,1,0,4,19,4.3979400086720375,68
20,0,0,1,1,16,4.732393759822968,99
24,0,1,1,1,18,4.544068044350275,85
24,1,1,1,2,19,4.30102999566398,82
22,0,1,1,1,21,4.716003343634799,88
17,0,1,1,2,19,5.079181246047624,90
23,0,1,1,1,4,4.698970004336019,170
19,0,1,1,2,21,5.079181246047624,89
16,0,1,1,2,22,4.954242509439324,90
10,1,1,1,3,21,5.079181246047624,67
21,0,1,1,2,15,5.006466042249231,104
19,0,1,0,1,19,4.875061263391699,126
22,0,1,1,1,13,5.0,120
18,0,1,1,2,20,4.746128005464327,108
20,0,1,1,2,13,4.903089986991943,140
22,1,1,1,2,21,4.698970004336019,47
19,0,1,1,2,16,4.845098040014256,68
18,1,1,1,4,19,4.8808135922807905,79
26,1,1,1,1,21,3.176091259055681,82
18,0,1,1,1,13,4.8808135922807905,62
21,1,1,1,1,21,4.602059991327962,67
21,1,1,1,2,19,4.778151250383643,55
15,0,1,1,3,11,5.230448921378273,102
19,0,0,1,1,10,5.258855093574616,176
22,0,0,1,1,26,4.726881995607641,56
23,0,0,1,1,17,4.611787014016585,109
18,1,0,1,2,11,4.501209937632075,89
18,1,0,1,2,19,4.641027688177413,55
22,1,0,1,1,20,4.824080253393191,53
16,1,0,1,1,21,4.7748744728191586,67
21,0,0,1,1,11,4.974902980157727,101
16,1,0,1,1,21,4.867644233903098,67
17,0,0,1,1,19,5.346135772904774,126
19,0,0,1,1,14,5.06484718225367,99
21,1,0,1,1,21,5.177669220818517,82
19,0,0,1,1,11,5.170613703377405,174
21,1,1,1,2,16,4.30102999566398,110
17,0,1,1,3,22,5.152288344383057,138
17,0,1,1,1,22,4.30102999566398,68
15,0,1,1,2,22,5.079181246047624,90
17,1,1,1,1,19,4.903089986991943,68
22,1,1,1,1,20,4.3979400086720375,67
17,0,1,1,2,13,4.698970004336019,63
23,0,1,1,1,13,5.1003705451175625,100
21,0,1,1,1,21,5.230448921378273,74
19,1,1,1,1,21,4.3802112417116055,47
23,0,1,1,2,21,5.0,88
25,1,1,1,1,22,4.0,84
18,0,1,1,2,16,4.845098040014256,68
23,1,1,1,1,21,4.602059991327962,34
17,1,1,1,1,21,5.0413926851582245,67
14,1,1,1,2,19,4.903089986991943,68
21,1,1,1,1,22,4.217483944213906,89
23,1,1,1,1,21,4.477121254719662,67
23,0,1,1,1,21,4.903089986991943,88
22,0,1,1,3,22,4.698970004336019,148
22,1,1,1,1,21,4.3979400086720375,67
25,0,1,1,1,19,4.30102999566398,74
22,1,1,1,1,20,4.778151250383643,53
17,0,1,1,2,21,4.845098040014256,74
20,0,1,1,2,13,4.698970004336019,62
10,1,1,0,2,14,5.0,218
21,1,1,1,1,21,4.716003343634799,67
20,0,1,1,1,21,4.903089986991943,74
21,1,1,1,1,19,4.698970004336019,55
22,0,1,1,1,13,4.778151250383643,120
25,1,1,1,1,21,4.3979400086720375,67
20,0,1,1,2,19,4.698970004336019,70
22,0,1,1,1,16,5.096910013008055,99
22,1,1,1,1,21,4.903089986991943,67
16,0,1,1,3,19,4.954242509439324,90
23,0,1,1,1,22,4.698970004336019,74
22,0,1,1,1,13,5.004321373782642,105
