iter	RMSE
0	0.1499861207
1	0.1394422702
2	0.1298393124
3	0.1217104912
4	0.1141250371
5	0.1072399841
6	0.1011798433
7	0.0957985714
8	0.09124657383
9	0.08712216977
10	0.08344831968
11	0.08012385578
12	0.07714772075
13	0.07449347793
14	0.07240626447
15	0.07045103004
16	0.06858934198
17	0.06708224773
18	0.06556729556
19	0.06414751207
20	0.0630477604
21	0.0621322068
22	0.06113553106
23	0.0602705381
24	0.05950541414
25	0.05885478794
26	0.05824179738
27	0.0577325055
28	0.05715864579
29	0.05669387459
30	0.05623062897
31	0.05590293748
32	0.05547850598
33	0.05506848465
34	0.05486268394
35	0.05450577964
36	0.0542201535
37	0.05399099886
38	0.05381879378
39	0.0535859418
40	0.05339571483
41	0.05312944621
42	0.05298464654
43	0.05278308357
44	0.05254791355
45	0.05242416125
46	0.05217353358
47	0.05198072679
48	0.05174684789
49	0.05156398817
50	0.05145815732
51	0.0513439781
52	0.05126403831
53	0.05109225142
54	0.05096553685
55	0.05090167668
56	0.05081420371
57	0.05069259219
58	0.0505248506
59	0.05042808646
60	0.05037035404
61	0.05024679981
62	0.05010893318
63	0.05001535596
64	0.04996939075
65	0.04987342116
66	0.04980438489
67	0.04971614668
68	0.04960211189
69	0.04943096161
70	0.0493830877
71	0.04930615427
72	0.04920117578
73	0.04910294571
74	0.04902082832
75	0.04892053629
76	0.04888664698
77	0.04883172971
78	0.04875654158
79	0.04864615055
80	0.04859900351
81	0.04849223104
82	0.0483880368
83	0.04833492044
84	0.04825220503
85	0.04818468631
86	0.04808237055
87	0.04803022572
88	0.04797374673
89	0.04789934061
90	0.04782621355
91	0.04771618487
92	0.04762054645
93	0.04756875707
94	0.04746493206
95	0.04746129922
96	0.04741449766
97	0.0473223188
98	0.04730465485
99	0.04723914284
100	0.04714735146
101	0.04708806709
102	0.04703641454
103	0.04702986441
104	0.04698791103
105	0.04690835801
106	0.04681456384
107	0.04674280407
108	0.04663932646
109	0.04661548846
110	0.046599334
111	0.04650816061
112	0.04645842068
113	0.04641455209
114	0.04636589234
115	0.04630413287
116	0.04627750012
117	0.04620223624
118	0.04612794621
119	0.04612214114
120	0.04610866122
121	0.04605895615
122	0.04601620904
123	0.04595500492
124	0.04587297647
125	0.04579390034
126	0.04573089082
127	0.0456891234
128	0.04565238438
129	0.04563222446
130	0.04561945927
131	0.04557368058
132	0.04556376008
133	0.04553790808
134	0.04550081395
135	0.04546792403
136	0.04539895568
137	0.04534610024
138	0.04533505993
139	0.04527030973
140	0.04521439403
141	0.04516507212
142	0.0450988283
143	0.04503163102
144	0.04499726978
145	0.04496772528
146	0.04493874949
147	0.0448909219
148	0.04482278401
149	0.04479708591
150	0.04476714307
151	0.04471606239
152	0.04463882018
153	0.04458531049
154	0.04457805026
155	0.04457364527
156	0.04451661043
157	0.04447773125
158	0.04445592406
159	0.0444254672
160	0.04440083925
161	0.04439480554
162	0.04438410299
163	0.04435843598
164	0.04431046543
165	0.04427587567
166	0.04423059223
167	0.04418043535
168	0.04417763481
169	0.04414868442
170	0.04411170061
171	0.04410496195
172	0.04410012403
173	0.04405998503
174	0.04405698388
175	0.04405033078
176	0.04402451981
177	0.04396176219
178	0.04392274881
179	0.04391044903
180	0.04390779475
181	0.0439019785
182	0.04389068644
183	0.04387885978
184	0.04382730285
185	0.04380578851
186	0.04376270741
187	0.04370382149
188	0.04367199685
189	0.04364211079
190	0.0435949864
191	0.04357109333
192	0.04353473257
193	0.04349937492
194	0.04345153598
195	0.0434008832
196	0.04339906534
197	0.04337492919
198	0.04337050143
199	0.04331045596
