iter	Passed	Remaining
438	1325	1693
439	1327	1689
440	1329	1684
441	1330	1680
442	1337	1682
443	1342	1681
444	1345	1677
445	1348	1675
446	1350	1670
447	1352	1666
448	1353	1661
449	1355	1657
450	1357	1652
451	1359	1648
452	1365	1648
453	1368	1645
454	1371	1642
455	1373	1638
456	1375	1634
457	1380	1633
458	1382	1630
459	1385	1626
460	1387	1622
461	1390	1618
462	1393	1615
463	1397	1613
464	1399	1610
465	1401	1605
466	1403	1601
467	1405	1597
468	1407	1593
469	1410	1590
470	1413	1587
471	1414	1582
472	1416	1578
473	1418	1574
474	1420	1570
475	1422	1566
476	1425	1563
477	1428	1560
478	1431	1556
479	1433	1552
480	1434	1548
481	1436	1544
482	1439	1540
483	1443	1539
484	1445	1535
485	1448	1532
486	1450	1528
487	1452	1524
488	1454	1520
489	1457	1517
490	1460	1514
491	1463	1511
492	1466	1507
493	1468	1504
494	1473	1503
495	1477	1501
496	1480	1498
497	1483	1495
498	1486	1492
499	1491	1491
500	1494	1488
501	1497	1485
502	1499	1481
503	1503	1479
504	1508	1478
505	1512	1476
506	1514	1472
507	1518	1470
508	1522	1468
509	1524	1464
510	1527	1461
511	1530	1458
512	1533	1455
513	1538	1454
514	1541	1452
515	1544	1448
516	1547	1445
517	1550	1442
518	1553	1439
519	1557	1437
520	1559	1433
521	1562	1430
522	1564	1426
523	1568	1424
524	1570	1421
525	1572	1417
526	1574	1413
527	1577	1409
528	1579	1406
529	1583	1403
530	1586	1401
531	1588	1397
532	1590	1393
533	1593	1390
534	1595	1386
535	1598	1384
536	1601	1380
537	1603	1377
538	1605	1373
539	1607	1369
540	1609	1365
541	1611	1361
542	1615	1359
543	1617	1355
544	1619	1351
545	1621	1348
546	1623	1344
547	1625	1340
548	1627	1337
549	1631	1335
550	1634	1332
551	1637	1328
552	1639	1324
553	1641	1321
554	1643	1317
555	1647	1315
556	1650	1312
557	1652	1308
558	1654	1305
559	1656	1301
560	1658	1297
561	1664	1297
562	1666	1293
563	1668	1289
564	1670	1286
565	1672	1282
566	1674	1278
567	1676	1275
568	1680	1272
569	1682	1269
570	1684	1265
571	1687	1262
572	1689	1258
573	1691	1255
574	1695	1253
575	1697	1249
576	1699	1245
577	1701	1242
578	1703	1238
579	1705	1235
580	1708	1232
581	1710	1228
582	1712	1224
583	1714	1221
584	1716	1217
585	1718	1214
586	1720	1210
587	1722	1206
588	1725	1204
589	1727	1200
590	1729	1197
591	1731	1193
592	1733	1189
593	1735	1186
594	1737	1182
595	1741	1180
596	1743	1176
597	1745	1173
598	1747	1169
599	1749	1166
600	1750	1162
601	1753	1159
602	1756	1156
603	1758	1153
604	1760	1149
605	1762	1146
606	1764	1142
607	1766	1139
608	1768	1135
609	1772	1133
610	1774	1129
611	1776	1126
612	1778	1122
613	1780	1119
614	1782	1115
615	1784	1112
616	1788	1110
617	1790	1106
618	1792	1103
619	1794	1099
620	1796	1096
621	1798	1092
622	1800	1089
623	1804	1087
624	1806	1084
625	1809	1081
626	1812	1078
627	1814	1074
628	1816	1071
629	1820	1069
630	1823	1066
631	1825	1062
632	1827	1059
633	1829	1056
634	1831	1052
635	1834	1049
636	1836	1046
637	1838	1043
638	1840	1039
639	1842	1036
640	1845	1033
641	1847	1030
642	1851	1028
643	1854	1024
644	1856	1021
645	1858	1018
646	1860	1015
647	1862	1011
648	1864	1008
649	1867	1005
650	1869	1002
651	1871	999
652	1873	995
653	1876	992
654	1878	989
655	1880	986
656	1883	983
657	1885	980
658	1888	977
659	1890	973
660	1892	970
661	1894	967
662	1896	963
663	1899	961
664	1901	958
665	1904	954
666	1906	951
667	1908	948
668	1911	945
669	1913	942
670	1916	939
671	1918	936
672	1920	933
673	1922	930
674	1925	926
675	1927	923
676	1931	921
677	1933	918
678	1935	915
679	1938	912
680	1940	908
681	1943	905
682	1946	903
683	1949	900
684	1951	897
685	1954	894
686	1956	891
687	1958	888
688	1962	885
689	1965	882
690	1967	879
691	1969	876
692	1971	873
693	1974	870
694	1978	868
695	1981	865
696	1983	862
697	1986	859
698	1988	856
699	1990	853
700	1994	850
701	1997	847
702	1999	844
703	2001	841
704	2003	838
705	2005	835
706	2008	832
707	2011	829
708	2013	826
709	2015	823
710	2017	819
711	2019	816
712	2021	813
713	2022	810
714	2026	807
715	2028	804
716	2030	801
717	2032	798
718	2034	795
719	2036	791
720	2038	788
721	2042	786
