iter	RMSE
0	0.2779542328
1	0.2710750187
2	0.264649741
3	0.258853472
4	0.252508524
5	0.2472175878
6	0.2417730797
7	0.2364840604
8	0.2318360691
9	0.2269580332
10	0.2223182176
11	0.2172208905
12	0.2122953526
13	0.2081131152
14	0.2034446195
15	0.1995538515
16	0.195175008
17	0.1909867266
18	0.1871374024
19	0.1833459209
20	0.1796299849
21	0.1761776807
22	0.1725557653
23	0.1690412471
24	0.1659042709
25	0.1626457294
26	0.1595155165
27	0.1565099775
28	0.1536234724
29	0.1507975171
30	0.1480807054
31	0.1455039414
32	0.143120441
33	0.1406859195
34	0.1384465345
35	0.1363172258
36	0.1345135174
37	0.1323690656
38	0.1302726734
39	0.1282605622
40	0.1263371121
41	0.1245546961
42	0.122790286
43	0.1212050842
44	0.1199194539
45	0.1182351226
46	0.1168200346
47	0.1154743966
48	0.1139648847
49	0.1125397604
50	0.11121895
51	0.1100216234
52	0.108928881
53	0.1075584021
54	0.106315625
55	0.1051790216
56	0.1040770352
57	0.1029753307
58	0.1019163763
59	0.1009539887
60	0.1001666846
61	0.09928136138
62	0.09829873836
63	0.09744902425
64	0.09656212146
65	0.09581490755
66	0.09489918525
67	0.09414321353
68	0.0934080339
69	0.09267259178
70	0.09188500504
71	0.0911949083
72	0.09055509801
73	0.08993365509
74	0.08937716699
75	0.08892587577
76	0.08844887471
77	0.0878549532
78	0.08728568107
79	0.08667660895
80	0.08621789184
81	0.08567060562
82	0.085179317
83	0.08471090791
84	0.08414991327
85	0.08366339366
86	0.08321283686
87	0.08287554995
88	0.08247704348
89	0.08214256996
90	0.08179112701
91	0.08138393156
92	0.0810684149
93	0.08072176631
94	0.08037174326
95	0.07998342424
96	0.07965339066
97	0.07931875194
98	0.07899009571
99	0.07868166848
